id,source,dateTimeOcurred,nercRegion,areaAffected,disturbanceType,energyLossInMegaWatts,numCustomersAffected,restorationDateTime
2,2018_Annual_Summary.xls,Mon Jan 01 18:21:00 EST 2018,[SERC],Tennessee:,Severe Weather,,,Tue Jan 02 18:11:00 EST 2018
3,2018_Annual_Summary.xls,Mon Jan 01 17:43:00 EST 2018,[TRE],Texas:,Severe Weather,,,
4,2018_Annual_Summary.xls,Mon Jan 01 21:37:00 EST 2018,[SERC],Tennessee:,System Operations,,,Tue Jan 02 10:30:00 EST 2018
5,2018_Annual_Summary.xls,Tue Jan 02 10:00:00 EST 2018,[NPCC],New York: Niagara County;,Fuel Supply Deficiency,675,,Mon Feb 12 08:00:00 EST 2018
6,2018_Annual_Summary.xls,Tue Jan 02 07:30:00 EST 2018,[SERC],South Carolina:,Severe Weather,0,717000,
7,2018_Annual_Summary.xls,Tue Jan 02 06:45:00 EST 2018,[SERC],North Carolina: South Carolina:,Severe Weather,14998,,Tue Jan 02 09:00:00 EST 2018
8,2018_Annual_Summary.xls,Thu Jan 04 01:49:00 EST 2018,[TRE],Texas: Midland County;,Actual Physical Attack,,500,Thu Jan 04 02:09:00 EST 2018
9,2018_Annual_Summary.xls,Fri Jan 12 13:08:00 EST 2018,[RF],"Michigan: Midland County, Genesee County;",System Operations,41,23007,Fri Jan 12 14:53:00 EST 2018
10,2018_Annual_Summary.xls,Mon Jan 15 04:20:00 EST 2018,[TRE],Texas:,Severe Weather,,,Thu Jan 18 05:48:00 EST 2018
11,2018_Annual_Summary.xls,Tue Jan 16 15:00:00 EST 2018,[SERC],Tennessee:,Severe Weather,,,Thu Jan 18 13:00:00 EST 2018
12,2018_Annual_Summary.xls,Tue Jan 16 15:00:00 EST 2018,[SERC],Tennessee: Shelby County;,System Operations,,,Thu Jan 18 13:00:00 EST 2018
13,2018_Annual_Summary.xls,Tue Jan 16 13:57:00 EST 2018,[TRE],Texas:,Severe Weather,,,Tue Jan 16 14:32:00 EST 2018
14,2018_Annual_Summary.xls,Wed Jan 17 05:10:00 EST 2018,[SERC],Mississippi:,System Operations,1788,420000,Wed Jan 17 13:00:00 EST 2018
15,2018_Annual_Summary.xls,Wed Jan 17 06:10:00 EST 2018,[SERC],Louisiana:,System Operations,,,Wed Jan 17 14:00:00 EST 2018
16,2018_Annual_Summary.xls,Thu Jan 18 05:00:00 EST 2018,[SERC],Arkansas: Mississippi: Louisiana: Texas:,Severe Weather,31500,,Thu Jan 18 11:00:00 EST 2018
17,2018_Annual_Summary.xls,Thu Jan 18 05:00:00 EST 2018,[SERC],Mississippi:,System Operations,1760,420000,Thu Jan 18 09:45:00 EST 2018
18,2018_Annual_Summary.xls,Thu Jan 18 06:00:00 EST 2018,[SERC],Louisiana:,System Operations,,,
19,2018_Annual_Summary.xls,Thu Jan 25 20:19:00 EST 2018,[RF],Pennsylvania: Montgomery County;,Suspicious Activity,,,Fri Jan 26 02:00:00 EST 2018
20,2018_Annual_Summary.xls,Sun Feb 04 13:42:00 EST 2018,[WECC],California:,Vandalism,9760,0,Sun Feb 04 15:25:00 EST 2018
21,2018_Annual_Summary.xls,Thu Feb 08 13:25:00 EST 2018,[WECC],California:,System Operations,30,10900,Thu Feb 08 13:31:00 EST 2018
22,2018_Annual_Summary.xls,Sat Feb 17 16:33:00 EST 2018,[WECC],Oregon: Washington: California:,Vandalism,2330,0,Sun Feb 18 00:00:00 EST 2018
23,2018_Annual_Summary.xls,Sat Feb 17 17:56:00 EST 2018,[WECC],Oregon: Washington: California:,Vandalism,2327,0,Sun Feb 18 04:11:00 EST 2018
24,2018_Annual_Summary.xls,Wed Feb 28 12:08:00 EST 2018,[FRCC],Florida:,System Operations,0,0,Thu Mar 01 15:45:00 EST 2018
25,2018_Annual_Summary.xls,Wed Feb 28 12:08:00 EST 2018,[FRCC],Florida:,System Operations,0,0,Thu Mar 01 15:45:00 EST 2018
26,2018_Annual_Summary.xls,Thu Mar 01 11:43:00 EST 2018,[WECC],California:,Severe Weather,38,10898,Thu Mar 01 11:56:00 EST 2018
27,2018_Annual_Summary.xls,Thu Mar 01 21:57:00 EST 2018,[RF],Ohio:,Severe Weather,,86501,Fri Mar 02 10:14:00 EST 2018
28,2018_Annual_Summary.xls,Thu Mar 01 22:20:00 EST 2018,[RF],"Michigan: Wayne County, Washtenaw County, Oakland County, Macomb County, Monroe County;",Severe Weather,,95000,Sun Mar 04 20:00:00 EST 2018
29,2018_Annual_Summary.xls,Fri Mar 02 17:00:00 EST 2018,[RF],Delaware: Maryland:,Severe Weather,,60000,Tue Mar 06 11:00:00 EST 2018
